id,id_Cliente,id_Taqueria,Fecha,RFC_Mesero,Es_Efectivo,Es_Tarjeta,Es_Puntos,Total
2456,LBNJ664937HZZCZPI1,16,2021-01-13,SNLR759242U2I,true,false,false,350.97
0977,VBFU397608ATKAAT17,92,2021-02-14,VDBA546760LJL,true,false,false,444.01
2396,FKFH260170HEPULB02,37,2018-12-27,KQJZ1108722P8,true,false,false,99.44
8167,LQLA439305FLYHKOO2,7,2020-10-03,GWFG326838DJ6,true,false,false,461.88
1671,KVOJ151028LAGDXJ07,12,2019-11-08,BLUW544234LL3,true,false,false,883.66
0375,NFFJ626397VHCONZQ6,66,2019-08-21,GRCR737206D13,true,false,false,821.98
5519,WMZQ628278LKGPYI45,56,2020-11-05,TONC872846C45,true,false,false,572.81
5029,GRVJ522930TPPSYUI6,99,2021-09-14,LLCV621037PQP,true,false,false,335.11
7499,DHZV804877USDYDO22,66,2021-01-19,QVWY7456945K0,true,false,false,880.24
1984,FYHO953272BEEFNOK3,85,2021-11-11,WPWE455331JF8,true,false,false,422.37
7353,LAHT922111LLPAHZ15,38,2020-10-16,EMGB629182Q2S,true,false,false,308.05
1101,ZQMR187295MHVFXAR3,97,2022-03-27,RDGX563943LIR,true,false,false,59.23
1390,BDWC748922DWHMHGH3,45,2019-04-16,OKVM7612275NB,true,false,false,599.47
9692,QSAU180466QHZNWG60,84,2019-02-25,JAGH6468016M8,true,false,false,49.29
0781,AMJZ286126QCSWWVP3,35,2018-09-12,OQPL787716AOT,true,false,false,370.86
9793,IYES288835GQXLLNC4,28,2019-04-20,XZAA395789S47,true,false,false,542.6
8325,NFFX930697QNUZAU15,4,2019-09-23,XVFV379202EZ6,true,false,false,548.68
1892,TCTX598602JIYRZZZ7,45,2021-01-15,IKHM571765L0C,true,false,false,757.4
2145,DDVI572241QNVZBNZ3,35,2019-06-15,VAWN170340VS3,true,false,false,627.92
4865,MEBY340065TFARIAP1,42,2021-10-21,UDTV0023231P4,true,false,false,391.0
4702,QVGO708423XREZBEL6,44,2020-02-10,JDIL737917SPC,true,false,false,405.9
6001,HZBF935746LNNEOZE9,73,2019-10-09,ATFQ753310O9B,true,false,false,896.04
6047,LCAP931156YUSFAL58,44,2018-09-21,HJUM832077Y41,true,false,false,279.37
0181,REOT745746LQTVST81,24,2020-12-01,SAYF552228S2A,true,false,false,109.23
6572,QVBC878910EVJRBT62,97,2022-06-07,OLFC422679GOX,true,false,false,346.7
7134,IVOP096519RAAPGO62,74,2019-12-17,TEOI443805GL0,true,false,false,528.14
2521,UIRG358552FKABYPF8,83,2021-02-10,JRCG610662RPZ,true,false,false,332.09
9711,WVIA612392JQTXEN13,72,2020-12-07,LAMA154487EH5,true,false,false,569.3
0306,SSHM258961EBFVQUK0,2,2018-07-12,ZZHR931709L3D,true,false,false,825.64
6553,LKGQ734937IAHDLZX3,56,2019-05-01,CQVR8085399D2,true,false,false,907.09
3234,RJJY332533BAYLFJM8,75,2021-11-12,KFIJ2138268LQ,true,false,false,54.65
6645,ZHWX176881NJNTLIY7,76,2019-01-27,NRUJ12052234R,true,false,false,458.61
9938,OFRQ996394PQWDDG53,26,2018-10-22,YBWW452101QMW,true,false,false,630.82
8632,RTEF358705QAOPWJS6,53,2020-10-10,QXZO916983TLJ,true,false,false,717.79
8416,MQGT364477RFXUJYQ5,5,2021-02-11,PMGN167748XDG,true,false,false,608.47
8890,ZTGX441511MSQYBO02,30,2020-12-17,NCMJ926175WOF,true,false,false,914.47
6700,FKQL227091ZTNJEPQ1,52,2019-02-28,LHED7324382BB,true,false,false,211.7
1412,FBOA136706UAITROI0,99,2018-08-15,BGRT004386NBT,true,false,false,918.03
7187,FAIP969247ADNDGW60,46,2020-02-02,LBQH0325652J0,true,false,false,823.25
9183,EODT828321FZMMPBY0,93,2020-04-20,BRRQ624271010,true,false,false,877.46
5267,DOQE400565TFTSVQR4,30,2022-03-06,VXLE3723421IU,true,false,false,101.74
5938,IWGV771896BDKQSRF2,38,2021-10-28,RFXT9918794HK,true,false,false,279.94
5640,XICH889945OBEQATZ9,78,2019-04-03,ACVM887096TKD,true,false,false,82.02
9459,FHVF103280YRWTIHU6,69,2019-04-15,KVZO482721ZAS,true,false,false,406.15
3413,MZTN683668NJLJKND9,67,2019-12-04,XQMF246567G20,true,false,false,976.72
4845,ZOXF532211XWDJGFU2,48,2021-05-03,JCSG582436WIO,true,false,false,82.45
7680,ZJIT775917MBUFNXO2,28,2018-09-17,GWQC814511W7F,true,false,false,412.44
3196,MZDO945035ZRJITLK3,94,2019-02-01,QRYM16385758M,true,false,false,918.16
0223,WYUB463861UNLSSEE4,80,2022-01-05,HPTH1288036AY,true,false,false,332.83
